timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401991.745,80.566,41.992,33.203,56.152,16.602
1578401991.749,76.660,52.246,47.363,62.500,27.344
1578401991.753,66.406,45.410,33.203,66.895,3.906
1578401991.757,73.730,44.922,15.137,70.312,-0.488
1578401991.761,74.219,56.152,27.344,63.965,31.250
1578401991.765,72.266,65.918,61.523,61.035,19.531
1578401991.769,78.125,70.801,75.684,70.312,13.184
1578401991.773,67.871,49.805,62.012,60.547,65.430
1578401991.777,55.176,45.410,44.434,41.504,70.801
1578401991.780,48.828,57.129,38.086,23.438,42.480
1578401991.784,35.645,37.598,27.344,5.859,47.852
1578401991.788,38.086,34.668,33.691,14.160,77.637
1578401991.792,35.156,52.246,32.715,20.020,37.598
1578401991.796,17.578,34.180,17.578,2.441,42.969
1578401991.800,12.695,27.832,38.574,-7.812,33.203
1578401991.804,22.949,46.387,62.988,4.883,-9.277
1578401991.808,25.879,43.457,61.035,20.996,6.836
1578401991.812,21.484,41.016,53.711,32.227,-11.230
1578401991.816,24.902,40.039,52.734,42.480,-15.625
1578401991.820,8.789,27.344,36.621,27.832,-17.578
1578401991.823,4.395,19.531,21.973,13.184,-4.395
1578401991.827,40.527,37.598,30.273,45.898,19.043
1578401991.831,48.340,45.898,45.410,66.895,42.969
1578401991.835,34.180,29.297,51.270,48.828,39.062
1578401991.839,30.273,10.254,50.781,32.227,41.016
1578401991.843,57.129,20.020,49.316,60.059,21.484
1578401991.847,94.727,70.801,61.523,90.820,1.465
1578401991.851,42.969,57.129,31.250,36.621,27.832
1578401991.855,2.930,19.043,12.207,0.977,48.340
1578401991.859,18.555,22.949,42.480,4.883,92.285
1578401991.862,21.484,31.738,52.734,-2.441,69.336
1578401991.866,17.090,33.691,40.039,-3.906,10.254
1578401991.870,15.137,41.016,44.922,12.207,-9.277
1578401991.874,5.859,39.062,43.457,14.648,24.414
1578401991.878,15.137,36.621,24.902,13.184,46.875
1578401991.882,44.434,53.223,52.734,36.133,25.879
1578401991.886,29.297,33.691,60.059,34.668,56.641
1578401991.890,-6.348,8.789,28.320,0.977,72.266
1578401991.894,-7.324,19.531,42.480,-0.977,70.312
1578401991.898,-0.977,9.277,58.594,13.672,51.270
1578401991.902,6.348,-0.977,41.016,21.973,27.344
1578401991.905,22.461,23.926,28.809,29.297,-36.621
1578401991.909,20.996,26.367,35.156,29.785,-18.555
